"name";"lat";"lng";"postal_code";"population"
"Ocean Beach, NY";40.6443;-73.1613;"";65
"Oyster Bay, NY";40.866;-73.5272;"";9458
"Patchogue, NY";40.7609;-72.9871;"";45243
"Port Jefferson Station, NY";40.9136;-73.0464;"";26327
"Port Jefferson, NY";40.9457;-73.0611;"";8958
"Rocky Point, NY";40.9492;-72.9357;"";12354
"Ronkonkoma, NY";40.8083;-73.1305;"";38084
"Saint James, NY";40.8813;-73.1591;"";15609
"Sayville, NY";40.7459;-73.0859;"";15346
"Seaford, NY";40.6795;-73.491;"";21823
"Selden, NY";40.8699;-73.0448;"";26230
"Shoreham, NY";40.9485;-72.8927;"";6017
"Smithtown, NY";40.8542;-73.2138;"";36040
"Hauppauge, NY";40.8231;-73.1958;"";16007
"Sound Beach, NY";40.9567;-72.9742;"";8202
"Stony Brook, NY";40.91625;-73.134299;"";21348
"Syosset, NY";40.8204;-73.50225;"";25404
"Wading River, NY";40.952;-72.8348;"";8807
"Wantagh, NY";40.685;-73.5103;"";31642
"West Islip, NY";40.7117;-73.3007;"";25301
"West Sayville, NY";40.732;-73.1;"";4065
"Woodbury, NY";40.8154;-73.4716;"";8665
"Wyandanch, NY";40.7523;-73.3761;"";14242
"Hicksville, NY";40.76348;-73.543752;"";40713
"Plainview, NY";40.7781;-73.4816;"";28231
"Old Bethpage, NY";40.765;-73.4575;"";4688
"Riverhead, NY";40.9262;-72.652;"";29688
"Amagansett, NY";40.9895;-72.0959;"";1244
"Aquebogue, NY";40.9223;-72.6371;"";34
"Bridgehampton, NY";40.9339;-72.3077;"";914
"Calverton, NY";40.9297;-72.7423;"";7386
"Center Moriches, NY";40.7997;-72.797;"";8079
"Cutchogue, NY";41.0139;-72.4803;"";3186
"East Hampton, NY";40.993;-72.179;"";15757
"East Marion, NY";41.1264;-72.3419;"";911
"East Moriches, NY";40.809;-72.7538;"";5186
"Eastport, NY";40.8297;-72.7283;"";2053
"East Quogue, NY";40.8428;-72.5813;"";4501
"Greenport, NY";41.1039;-72.3674;"";4208
"Hampton Bays, NY";40.8726;-72.5202;"";13693
"Jamesport, NY";40.9223;-72.6371;"";105
"Laurel, NY";40.9674;-72.554;"";1191
"Manorville, NY";40.8421;-72.8002;"";15092
"Mastic, NY";40.8064;-72.8566;"";16324
"Mastic Beach, NY";40.7657;-72.8537;"";13959
"Mattituck, NY";40.9943;-72.5363;"";4831
"Middle Island, NY";40.8782;-72.9525;"";13305
"Montauk, NY";41.0459;-71.944;"";3510
"Moriches, NY";40.8095;-72.8229;"";3294
"New Suffolk, NY";40.9915;-72.4759;"";250
"Orient, NY";41.1437;-72.2879;"";717
"Peconic, NY";41.0392;-72.4666;"";531
"Quogue, NY";40.8226;-72.6012;"";815
"Remsenburg, NY";40.8086;-72.7064;"";490
"Ridge, NY";40.9018;-72.8881;"";12850
"Sagaponack, NY";40.9305;-72.2707;"";491
"Sag Harbor, NY";40.982;-72.3067;"";6710
"Shelter Island, NY";41.064;-72.3366;"";2263
"Shelter Island Heights, NY";41.084;-72.3559;"";581
"Shirley, NY";40.8015;-72.8676;"";26107
"Southampton, NY";40.8943;-72.399898;"";10702
"South Jamesport, NY";40.9365;-72.5773;"";111
"Southold, NY";41.0555;-72.429;"";6327
"Speonk, NY";40.8195;-72.7054;"";1355
"Upton, NY";40.8678;-72.8822;"";41
"Wainscott, NY";40.9396;-72.2425;"";308
"Water Mill, NY";40.9209;-72.3491;"";2344
"Westhampton, NY";40.818;-72.6699;"";2148
"Westhampton Beach, NY";40.8295;-72.6473;"";3122
"Yaphank, NY";40.837;-72.9174;"";5620
"Alcove, NY";42.4561;-73.9277;"";0
"Alplaus, NY";42.8573;-73.9002;"";570
"Altamont, NY";42.7063;-74.0193;"";8073
"Amsterdam, NY";42.9387;-74.1882;"";28787
"Athens, NY";42.2736;-73.8152;"";3013
"Austerlitz, NY";42.3223;-73.455;"";340
"Averill Park, NY";42.6365;-73.5504;"";7466
"Ballston Lake, NY";42.9192;-73.8552;"";14336
"Ballston Spa, NY";43.005;-73.8486;"";33044
"Berlin, NY";42.6919;-73.3702;"";819
"Berne, NY";42.6108;-74.1466;"";2133
"Brainard, NY";42.495;-73.5107;"";23
"Broadalbin, NY";43.0727;-74.1684;"";5456
"Burnt Hills, NY";42.9329;-73.896;"";3901
"Buskirk, NY";42.9601;-73.4497;"";924
"Canaan, NY";42.4132;-73.4159;"";1114
"Carlisle, NY";42.7648;-74.4569;"";184
"Caroga Lake, NY";43.1922;-74.5169;"";818
"Castleton On Hudson, NY";42.5376;-73.7071;"";7885
"Central Bridge, NY";42.737;-74.3451;"";793
"Charlotteville, NY";42.533;-74.6819;"";284
"Chatham, NY";42.3496;-73.5873;"";4288
"Cherry Plain, NY";42.6467;-73.3716;"";146
"Clarksville, NY";42.5759;-73.964;"";453
"Climax, NY";42.3659;-73.851;"";159
"Cobleskill, NY";42.684;-74.4939;"";8435
"Coeymans, NY";42.4757;-73.7977;"";343
"Coeymans Hollow, NY";42.4865;-73.9206;"";966
"Cohoes, NY";42.7754;-73.7124;"";20363
"Coxsackie, NY";42.3501;-73.8199;"";6432
"Cropseyville, NY";42.7667;-73.4719;"";1560
"Delanson, NY";42.748;-74.1868;"";4828
"Delmar, NY";42.6158;-73.8373;"";17177
"Duanesburg, NY";42.7708;-74.0839;"";2400
"Eagle Bridge, NY";42.9808;-73.3522;"";2115
"Earlton, NY";42.3527;-73.9062;"";1668
"East Berne, NY";42.6191;-74.0555;"";1611
"East Chatham, NY";42.433;-73.4903;"";1396
"East Greenbush, NY";42.5951;-73.6826;"";9969
"East Nassau, NY";42.5352;-73.4984;"";1736
"East Schodack, NY";42.5637;-73.6274;"";495
"East Worcester, NY";42.6321;-74.6674;"";410
"Clifton Park, NY";42.8499;-73.7851;"";43206
"Esperance, NY";42.7717;-74.2882;"";1876
"Feura Bush, NY";42.555;-73.9237;"";1531
"Fonda, NY";42.9571;-74.4021;"";2993
"Fort Hunter, NY";42.9423;-74.2851;"";179
"Fort Johnson, NY";42.9765;-74.2484;"";1578
"Fultonham, NY";42.5923;-74.4381;"";364
"Fultonville, NY";42.9036;-74.3598;"";2843
"Galway, NY";43.0217;-74.029;"";2694
"Ghent, NY";42.3036;-73.6486;"";2886
"Gilboa, NY";42.4108;-74.4003;"";1506
"Glenmont, NY";42.5971;-73.7959;"";6579
"Gloversville, NY";43.0616;-74.3375;"";23554
"Greenville, NY";42.4113;-74.0222;"";3673
"Guilderland, NY";42.6973;-73.8975;"";4740
"Guilderland Center, NY";42.6948;-73.9053;"";520
"Hagaman, NY";42.9695;-74.1556;"";1587
"Hannacroix, NY";42.429;-73.8093;"";1084
"Hoosick, NY";42.8667;-73.3181;"";128
"Hoosick Falls, NY";42.8937;-73.3581;"";6262
"Howes Cave, NY";42.7045;-74.3648;"";721
"Jefferson, NY";42.4999;-74.6117;"";1743
"Johnsonville, NY";42.8769;-73.4989;"";2481
"Johnstown, NY";43.0069;-74.3715;"";12370
"Kinderhook, NY";42.3767;-73.7183;"";2432
"Lake Pleasant, NY";43.6676;-74.4569;"";307
"Latham, NY";42.7462;-73.763;"";22471
"Malden Bridge, NY";42.4725;-73.5807;"";225
"Maryland, NY";42.5371;-74.903;"";1901
"Mayfield, NY";43.1411;-74.2444;"";3492
"Mechanicville, NY";42.9168;-73.7214;"";14195
"Medusa, NY";42.4515;-74.1315;"";535
"Melrose, NY";42.8412;-73.6077;"";1854
"Middleburgh, NY";42.5637;-74.3292;"";4562
"Nassau, NY";42.5271;-73.6118;"";5159
"New Baltimore, NY";42.4442;-73.7882;"";615
"New Lebanon, NY";42.4759;-73.3773;"";1491
"Niverville, NY";42.44;-73.6663;"";970
"North Blenheim, NY";42.4899;-74.4282;"";135
